region,region_id,province,provincial_id,city_municipality,city_municipality_id,pop_cagr,avg_income_2021,income_cagr,employment_rate_2019,gva_2020,gva_cagr,gv_per_unit_built,gv_per_unit_sold,opportunity_score
mimaropa region,mr-001,palawan,palawan001,bataraza,palawan001bataraza,0.19815209745341011,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.2578562301404616
mimaropa region,mr-001,palawan,palawan001,puerto-princesa,palawan001puerto-princesa,0.1735261460104236,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.3038080847418422
mimaropa region,mr-001,palawan,palawan001,balabac,palawan001balabac,0.1391233277582904,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.3680035050024463
mimaropa region,mr-001,palawan,palawan001,brooke's-point,palawan001brooke's-point,0.1089443699674233,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.4243172309365596
mimaropa region,mr-001,palawan,palawan001,coron,palawan001coron,0.19546902450838521,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.26286282564764946
mimaropa region,mr-001,palawan,palawan001,roxas,palawan001roxas,0.1018124459551053,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.43762535168068084
mimaropa region,mr-001,palawan,palawan001,dumaran,palawan001dumaran,0.09084898530660968,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.45808309321460683
mimaropa region,mr-001,palawan,palawan001,taytay,palawan001taytay,0.1164233782985804,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.410361453260659
mimaropa region,mr-001,palawan,palawan001,el-nido,palawan001el-nido,0.16910212353919518,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.3120632799907156
mimaropa region,mr-001,palawan,palawan001,narra,palawan001narra,0.0821268585257493,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.47435852129610956
mimaropa region,mr-001,palawan,palawan001,kalayaan,palawan001kalayaan,-0.03547583801022813,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.6938043374085504
mimaropa region,mr-001,palawan,palawan001,culion,palawan001culion,0.1136802242375008,24127.0,0.06974330773217963,97.58234,11320742,0.014285168612459431,4815.287962569119,9601.986429177268,-0.4154801597137173
